,Title,Year
614,Batman: The Hunt for Red Hood,2016–
615,Batman Beyond: The Beginning,2017
616,Batman: Chaos in Gotham City,2012
617,Batman Returns: Rob Burman on Mold Making and Costumes,2012
618,Batman: The Enemy Within,1995
619,Batman Consquences,2011
620,Batman Consequences: Ending with the Premiere,2011
621,Batman- Out of Character,2011
622,Tomorrow Knight: Batman Reborn,2010
623,Goldentusk's Batman Theme Song,2007
624,Batman of Suburbia,2010
625,El día que conocí a Batman,2009
626,Vice Press x Thought Bubble Present: Batman,1989
627,Batman: A Taste of Terror,2023
628,The Batman Plancarte,2022
629,Batman: Just A Mortal,2023–
